canonical_smiles,molecule_chembl_id,IC50_nM,pIC50,MWT,LogP,HBD,HBA,RO5_Compliant
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ncccn2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5199169,88.0,7.055517327849832,551.6550000000001,4.427600000000003,2,10,True
COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Nc1nc(-c2cn(C)c3ccccc23)c2cccnc2n1,CHEMBL5185772,420.0,6.376750709602099,604.719,4.919300000000004,2,11,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5196254,110.0,6.958607314841775,553.6710000000002,4.371100000000003,2,10,True
COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,CHEMBL4649261,156.6,6.805208242278075,474.60900000000026,4.230700000000003,2,8,True
COc1cc(N(C)c2ccnc3ccc(C(F)(F)F)cc23)cc(OC)c1OC,CHEMBL4462395,2200.0,5.657577319177793,392.3770000000002,5.047300000000004,0,5,True
COc1cc(N2CCC(CCS(C)(=O)=O)CC2)c(C)cc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,CHEMBL3969511,1000.0,6.0,751.8600000000001,7.700520000000008,2,10,False
COc1cc(N2CCC(N(C)C)CC2)c(-c2cn[nH]c2)cc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,CHEMBL5094480,0.9,9.045757490560675,595.088,5.794300000000004,3,9,False
COc1cc(N2CCC(N(C)C)CC2)c(-c2cnn(C)c2)cc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,CHEMBL5086066,1.7,8.769551078621726,609.115,5.804700000000005,2,10,False
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)OC(C)C)c(-c2c[nH]c3ccccc23)n1,CHEMBL5289859,0.32,9.494850021680094,528.6570000000002,5.472700000000005,2,8,False
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C(C)=O)c3ccccc23)n1,CHEMBL5288276,3.0,8.522878745280337,570.6940000000003,5.606200000000006,1,10,False
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1,CHEMBL5280082,0.42,9.3767507096021,542.6840000000002,5.483100000000006,1,9,False
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,CHEMBL5270693,0.02,10.698970004336019,562.6740000000002,6.126700000000006,2,8,False
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc2cc(CNc3ccccc3)n(C3CCCC3)c2n1,CHEMBL5179023,10.0,8.0,539.7280000000002,6.441100000000007,2,8,False
